Enhetsnavn;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Begge kjønn;55;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Jenter;53;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Gutter;56;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2007-2008;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2007-2008;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2007-2008;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2008-2009;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2008-2009;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2008-2009;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2009-2010;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2009-2010;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2009-2010;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2010-2011;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2010-2011;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2010-2011;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2012-2013;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2012-2013;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2012-2013;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2013-2014;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2013-2014;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Engelsk;2013-2014;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2007-2008;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2007-2008;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2007-2008;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2008-2009;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2008-2009;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2008-2009;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2009-2010;Offentlig;Trinn 5;Begge kjønn;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2009-2010;Offentlig;Trinn 5;Jenter;.;Gjennomsnittspoeng med én desimal (1-3)
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn 2009-2013;Lesing;2009-2010;Offentlig;Trinn 5;Gutter;.;Gjennomsnittspoeng med én desimal (1-3)
