enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 8,Gutter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Begge kjønn,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Jenter,55
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Gutter,49
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 8,Begge kjønn,50
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 8,Jenter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 8,Gutter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Begge kjønn,54
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Jenter,56
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Gutter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 8,Begge kjønn,49
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 8,Jenter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 8,Gutter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Begge kjønn,54
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Jenter,56
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Gutter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 8,Begge kjønn,51
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 8,Jenter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 8,Gutter,50
