enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,52
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,47
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,48
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,50
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,60
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,52
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,53
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,51
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,55
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,52
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,53
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,55
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,52
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,53
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,52
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,55
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,50
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,54
Kampen skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,56
Kampen skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,47
Kampen skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,53
Kampen skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,44
Kampen skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,51
