enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,51
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,53
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,45
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,57
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,52
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,51
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,53
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,52
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,52
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,47
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,56
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,55
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,54
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,54
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,53
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,53
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,53
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,48
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,48
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,52
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,49
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,55
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,54
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,51
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,48
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,46
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,47
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,45
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,52
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,50
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,53
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,48
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,45
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,50
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,44
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,53
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,52
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,57
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,54
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,49
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,53
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,54
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,53
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,55
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,54
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,54
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,49
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,57
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,53
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,58
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,54
