enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2007-2008,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2008-2009,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2009-2010,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2010-2011,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2012-2013,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2013-2014,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2007-2008,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2008-2009,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2009-2010,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2010-2011,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2011-2012,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2012-2013,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2013-2014,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2007-2008,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2008-2009,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2009-2010,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2010-2011,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2011-2012,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2012-2013,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2013-2014,Trinn 5,Jenter,
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,46
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2014-2015,Trinn 8,Jenter,50
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2015-2016,Trinn 8,Jenter,47
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2016-2017,Trinn 8,Jenter,49
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2017-2018,Trinn 8,Jenter,48
